LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
NB-2000194b356;DELETE;NB-20001687e03---0;DELETE;;
NB-20002439844;DELETE;NB-20004acfc99---0;DELETE;;
NB-200033B4672;DELETE;NB-2000194b356---0;DELETE;;
NB-200022A6623;DELETE;NB-2000111ead432---0;DELETE;;
NB-20001687e03;DELETE;NB-20002439844---0;DELETE;;
NB-200024B0403;DELETE;NB-200018A6834---0;DELETE;;
NB-2000137a9733;DELETE;NB-200024B0403---1;DELETE;;
NB-20004acfc99;DELETE;NB-200017c5a831---0;DELETE;;
NB-2000111ead432;DELETE;NB-200033B4672---0;DELETE;;
NB-200017c5a831;DELETE;NB-200022A6623---0;DELETE;;
NB-200018A6834;DELETE;NB-200024B0403---0;DELETE;;
;;NB-2000137a9733---0;DELETE;;
